Entry number	Target word	Target cyrillic	Stem nr	Concept nr	Source concept	Russian stimulus	WOLD core list	LWT code	Similarity set	Language	Village	Region	Date (MM.YYYY)	Latitude	Longitude	Respondent	Full_reference	Supposed toplevel source	Suspected mediator	Reference	Comment	Confirmed
1	c’unc’ra	ц1унц1ра	1	1	the ant	муравей	Yes	3.817	1.1	Avar			11.2018	42.43056	46.66639	Dictionary at http://avar.me/						
208	ɬanc’ːi	лъанц1ц1и	2	1	the ant	муравей	Yes	3.817	1.2	Andi	Zilo	Botlikh	8.2018	42.731394	46.319223	Zilo1		Non loan				
384	ɬanc’i	лъанц1и	2	1	the ant	муравей	Yes	3.817	1.2	Andi	Zilo	Botlikh	7.2017	42.731394	46.319223	Zilo2		Non loan				
547	ɬanc’	лъанц1	2	1	the ant	муравей	Yes	3.817	1.2	Andi	Rikvani	Botlikh	7.2017	42.782304	46.319372	Rikvani1		Non loan				
686	tanc’ːa	танц1ц1а	2	1	the ant	муравей	Yes	3.817	1.2	Botlikh	Botlikh	Botlikh	7.2017	42.667813	46.221451	Botlikh1		Non loan				
851	c’ːunc’ːura	ц1унц1ура	1	1	the ant	муравей	Yes	3.817	1.1	Avar	Kusur	Rutul	7.2017	41.781293	46.949207	Kusur1		Non loan				
1003	zimzu	зимзу	3	1	the ant	муравей	Yes	3.817	1.3	Archi			11.2018	42.0664	46.8678	(Chumakina 2009)	Chumakina, Marina. 2009. Archi vocabulary. In: Haspelmath, Martin & Tadmor, Uri (eds.) World Loanword Database. Leipzig: Max Planck Institute for Evolutionary Anthropology, 1254 entries. (Available online at http://wold.clld.org/vocabulary/16, Accessed on 2018-11-11.)	Unidentified				
1138	hũca	гьу2ца	4	1	the ant	муравей	Yes	3.817	1.4	Bezhta			11.2018	42.1206	46.03319	(Comrie & Khalilov 2009)	Comrie, Bernard & Madzhid Khalilov. 2009. Bezhta vocabulary. In: Haspelmath, Martin & Tadmor, Uri (eds.) World Loanword Database. Leipzig: Max Planck Institute for Evolutionary Anthropology, 1473 entries. (Available online at http://wold.clld.org/vocabulary/15, Accessed on 2018-11-11.) 	Non loan				
1376		цеквуьр	5	1	the ant	муравей	Yes	3.817	1.5	Lezgian	Arkhit	Khiv	7.2018	41.7405	47.95878	Arkhit1						
1545		къарышкъа	6	1	the ant	муравей	Yes	3.817	1.6	North Azerbaijani	Darvag	Tabasaran	7.2018	42.022285	48.065912	Darvag1						
1731		къомурсгъа	7	1	the ant	муравей	Yes	3.817	1.7	Kumyk			11.2018	43	47	Dictionary at https://кумыкский-язык.рф/slovar/						
1925		имимай	8	1	the ant	муравей	Yes	3.817	1.8	Tabasaran	Dyubek	Tabasaran	7.2018	42.0208	47.969528	Dyubek1						
2088		ц1имиц1и	9	1	the ant	муравей	Yes	3.817	1.9	Tabasaran	Dyubek	Tabasaran	7.2018	42.0208	47.969528	Dyubek2						
2241		ц1имиц1и	9	1	the ant	муравей	Yes	3.817	1.9	Tabasaran	Dyubek	Tabasaran	7.2018	42.0208	47.969528	Dyubek3						
2393		зимзар	3	1	the ant	муравей	Yes	3.817	1.3	Kajtak	Dzhavgat	Tabasaran	7.2018	42.0506	47.9375	Dzhavgat1						
2551		зимзар	3	1	the ant	муравей	Yes	3.817	1.3	Kajtak	Dzhibakhni	Tabasaran	7.2018	42.06051	47.90847	Dzhibakhni1						
2713		ц1имиц1	9	1	the ant	муравей	Yes	3.817	1.9	Tabasaran	Khapil’	Tabasaran	7.2018	41.98722	47.97731	Khapil1						
2874		зимс	3	1	the ant	муравей	Yes	3.817	1.3	Tabasaran	Laka	Khiv	7.2018	41.75705	47.88114	Laka1						
3044		цег	10	1	the ant	муравей	Yes	3.817	1.10	Lezgian	Tsinit	Khiv	7.2018	41.72324	48.00882	Tsinit1						
3213		ц1имиц1	9	1	the ant	муравей	Yes	3.817	1.9	Tabasaran	Yagdyg	Tabasaran	7.2018	41.980115	47.970578	Yagdyg2						
3374		къарышкъа	6	1	the ant	муравей	Yes	3.817	1.6	North Azerbaijani	Yersi	Tabasaran	7.2018	42.018844	48.012897	Yersi1						
3532	namlah		11	1	the ant				1.11	arabic	arabic_dictionary					arabic_dictionary						
3533	nammah		11	1	the ant				1.11	arabic	arabic_dictionary					arabic_dictionary						
3694	qarışqa		6	1	the ant				1.6	azerbaijani	azerbaijani_dictionary					azerbaijani_dictionary						
3900	зингат		12	1	the ant				1.12	chechen	chechen_dictionary					chechen_dictionary						
4058	č'ianč'vela		13	1	the ant				1.13	georgian	georgian_dictionary					georgian_dictionary						
4442	moor		14	1	the ant				1.14	persian	persian_dictionary					persian_dictionary						
4857	муравей		15	1	the ant				1.15	russian	russian_dictionary					russian_dictionary						
2	k’amuri	к1амури		2	the arch	арка	Yes	7.58	2.1	Avar			11.2018	42.43056	46.66639	Dictionary at http://avar.me/						
3	ʁapu	гъапу		2	the arch	арка	Yes	7.58	2.2	Avar			11.2018	42.43056	46.66639	Dictionary at http://avar.me/						
209	k’ːamur	к1к1амур		2	the arch	арка	Yes	7.58	2.1	Andi	Zilo	Botlikh	8.2018	42.731394	46.319223	Zilo1		Avar				
385	k’ːamur	к1к1амур		2	the arch	арка	Yes	7.58	2.1	Andi	Zilo	Botlikh	7.2017	42.731394	46.319223	Zilo2		Avar				
548	k’ːara	к1к1ара		2	the arch	арка	Yes	7.58	2.3	Andi	Rikvani	Botlikh	7.2017	42.782304	46.319372	Rikvani1		Avar				
687	k’ːamur	к1к1амур		2	the arch	арка	Yes	7.58	2.1	Botlikh	Botlikh	Botlikh	7.2017	42.667813	46.221451	Botlikh1		Avar				
852	arka	арка		2	the arch	арка	Yes	7.58	2.4	Avar	Kusur	Rutul	7.2017	41.781293	46.949207	Kusur1		Russian				
1004	kummur	куммур		2	the arch	арка	Yes	7.58	2.1	Archi			11.2018	42.0664	46.8678	(Chumakina 2009)	Chumakina, Marina. 2009. Archi vocabulary. In: Haspelmath, Martin & Tadmor, Uri (eds.) World Loanword Database. Leipzig: Max Planck Institute for Evolutionary Anthropology, 1254 entries. (Available online at http://wold.clld.org/vocabulary/16, Accessed on 2018-11-11.)	Avar				
1139	k’amur	к1амур		2	the arch	арка	Yes	7.58	2.1	Bezhta			11.2018	42.1206	46.03319	(Comrie & Khalilov 2009)	Comrie, Bernard & Madzhid Khalilov. 2009. Bezhta vocabulary. In: Haspelmath, Martin & Tadmor, Uri (eds.) World Loanword Database. Leipzig: Max Planck Institute for Evolutionary Anthropology, 1473 entries. (Available online at http://wold.clld.org/vocabulary/15, Accessed on 2018-11-11.) 	Georgian				
1288		чарх		2	the arch	арка	Yes	7.58	2.5	Lezgian	Arkhit	Khiv	7.2018	41.7405	47.95878	Arkhit1						
1463		арка		2	the arch	арка	Yes	7.58	2.4	North Azerbaijani	Darvag	Tabasaran	7.2018	42.022285	48.065912	Darvag1						
