Word	Cyrillic	Village	Type	General type	Lat	Lon	Language	Dialect / Alternative name	Glottocode	Resource type	Reference	Comment
p’ilp’ili		Glottolog_point	3. pilpil	other	41.81574	44.31883	Georgian			Dictionary	?	Glottolog coordinates
istiwut	истивут	Arkhit	1. istiot	istiot	41.7405	47.95878	Lezgian			Fieldwork	Arkhit1	
perec	перец	Bagvalal	4. perec	other	42.39664	46.2	Bagvalal			Fieldwork	Bagvalal1	
puč	пуч	Bagvalal	2. burč	other	42.39664	46.1041	Bagvalal			Fieldwork	Bagvalal2	
buryš	бурыш	Glottolog_point	2. burč	other	43.59168	46.66178	Nogai			Dictionary	Baskakov, Nikolaj A. 1956. Russko-nogajskij slovar’ [Russian-Nogai dictionary]. Moscow: Gosudarstvennoe izdatel’stvo inostrannyx i nacional’nyx slovarej, 420.	Glottolog coordinates
istiot	истиот	Bezhta	1. istiot	istiot	42.1339	46.1247	Bezhta			Fieldwork	Bezhta1	
pilpil	пилпил	Glottolog_point	3. pilpil	other	42.50239	45.99496	Chamalal			Dictionary	Bokarëv, Anatolij A. 1949. Očerki grammatiki čamalinskogo jazyka [A sketch of Chamalal grammar]. Moscow/Leningrad: Nauka, 172.	Glottolog coordinates
purčː	пурчч	Botlikh	2. burč	other	42.667813	46.221451	Botlikh			Fieldwork	Botlikh1	
istihoti	истигьоти	Glottolog_point	1. istiot	istiot	42.0664	46.8678	Archi			Dictionary	Chumakina, Marina. 2009. Archi vocabulary. In: Haspelmath, Martin & Tadmor, Uri (eds.) World Loanword Database. Leipzig: Max Planck Institute for Evolutionary Anthropology, 1254 entries. (Available online at http://wold.clld.org/vocabulary/16, Accessed on 2018-11-11.)	Glottolog coordinates
p’ilp’il	п1илп1ил	Glottolog_point	3. pilpil	other	42.1206	46.03319	Bezhta			Dictionary	Comrie, Bernard & Madzhid Khalilov. 2009. Bezhta vocabulary. In: Haspelmath, Martin & Tadmor, Uri (eds.) World Loanword Database. Leipzig: Max Planck Institute for Evolutionary Anthropology, 1473 entries. (Available online at http://wold.clld.org/vocabulary/15, Accessed on 2018-11-11.) 	Glottolog coordinates
istowut	истовут	Darvag	1. istiot	istiot	42.022285	48.065912	North Azerbaijani			Fieldwork	Darvag1	
pilpil	пилпил	Glottolog_point	3. pilpil	other	42.43056	46.66639	Avar	Standard		Dictionary	Dictionary at http://avar.me/	Glottolog coordinates
pučː	пучч	Glottolog_point	2. burč	other	42.43056	46.77	Avar	Standard		Dictionary	Dictionary at http://avar.me/	Glottolog coordinates
istawut	иставут	Dyubek	1. istiot	istiot	42.0208	47.969528	Tabasaran			Fieldwork	Dyubek1	
isːut q’ʕaqti	иссут къярхъти	Dzhavgat	1. istiot	istiot	42.0506	47.9375	Kajtak			Fieldwork	Dzhavgat1	
isːut’	иссут1	Dzhibakhni	1. istiot	istiot	42.06051	47.90847	Kajtak			Fieldwork	Dzhibakhni1	
c’ac’aki		Genukh	6. other	other	42.1764	45.98646	Hinuq			Dictionary	Forker, Diana. 2013. A grammar of Hinuq. Berlin/Boston: De Gruyter Mouton, 304.	
isːoːt	иссоот	Helmets	1. istiot	istiot	41.62466	47.17889	Tsakhur			Fieldwork	Helmets1	
istiot		Glottolog_point	1. istiot	istiot	40.97767	46.4737	North Azerbaijani			Wikipedia	https://az.wikipedia.org/wiki/%C4%B0stiot	Glottolog coordinates
burč	бурч	Glottolog_point	2. burč	other	43.5	45.5	Chechen			Dictionary	https://dosh.govzalla.com/	Glottolog coordinates
akma	акма	Arakul	6. other	other	41.77377	47.21238	Lak	Arakul		Database	https://ids.clld.org/parameters/5-820#7/41.910/48.928	
burč	бурч	Glottolog_point	2. burč	other	43.16667	44.81667	Ingush			Database	https://ids.clld.org/parameters/5-820#7/41.910/48.928	Glottolog coordinates
byrc	бырц (черный)	Glottolog_point	2. burč	other	43.01667	44.68333	Ossetian			Database	https://ids.clld.org/parameters/5-820#7/41.910/48.928	Glottolog coordinates
c’ːak’i	цІицІакІи	Mokok	6. other	other	42.2619	45.9008	Tsez	Mokok		Database	https://ids.clld.org/parameters/5-820#7/41.910/48.928	
c’ic’ak’a	цІицІакІа	Glottolog_point	6. other	other	42.45022	45.6	Hinuq			Database	https://ids.clld.org/parameters/5-820#7/41.910/48.928	Glottolog coordinates
felfel		Glottolog_point	6. other	other	28.65928	55.15861	Western Farsi	Persian		Database	https://ids.clld.org/parameters/5-820#7/41.910/48.928	Glottolog coordinates
fülfül	фуьлфуьл	Glottolog_point	6. other	other	42.07	48.26	Judeo-Tat			Database	https://ids.clld.org/parameters/5-820#7/41.910/48.928	Glottolog coordinates
gurgimaχʷa	гургимахва	Mehweb	6. other	other	42.2528	47.0472	Mehweb			Database	https://ids.clld.org/parameters/5-820#7/41.910/48.928	
isːijawt	иссийавт	Shali	1. istiot	istiot	42.09007	46.91826	Lak	Shali		Database	https://ids.clld.org/parameters/5-820#7/41.910/48.928	
isːijawt	иссийавт	Balkhar	1. istiot	istiot	42.2797	47.2314	Lak	Balkhar		Database	https://ids.clld.org/parameters/5-820#7/41.910/48.928	
isːijurt	иссиюрт	Usisha	1. istiot	istiot	42.2511	47.3928	Dargwa	Usisha		Database	https://ids.clld.org/parameters/5-820#7/41.910/48.928	
